h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.985828,0.175633,0.985828,0.175633,"{'att': 199, 'def': 35}","{'att': 335, 'def': 20}",4,0,2,0,2.1004,w,06/11/2020 20:00,1,0,0,3,0.810195
h,1.07042,1.83076,1.07042,1.83076,"{'att': 149, 'def': 15}","{'att': 334, 'def': 20}",6,2,3,1,0.7733,w,09/05/2021 18:00,1,0,0,3,-0.76034
h,3.26196,0.318824,3.26196,0.318824,"{'att': 198, 'def': 28}","{'att': 452, 'def': 13}",20,1,4,1,2.9046,w,02/03/2021 20:00,1,0,0,3,2.943136
h,1.71328,2.938,1.71328,2.938,"{'att': 256, 'def': 20}","{'att': 286, 'def': 29}",8,6,2,4,0.6371,l,13/05/2021 19:15,0,0,1,0,-1.22472
h,0.761142,1.66325,0.761142,1.66325,"{'att': 295, 'def': 20}","{'att': 164, 'def': 25}",2,9,2,0,0.6779,w,21/11/2020 17:30,1,0,0,3,-0.902108
h,1.71644,3.36544,1.71644,3.36544,"{'att': 182, 'def': 19}","{'att': 198, 'def': 15}",6,11,1,0,0.4776,w,28/11/2020 20:00,1,0,0,3,-1.649
h,1.90755,0.809312,1.90755,0.809312,"{'att': 199, 'def': 21}","{'att': 336, 'def': 16}",9,6,1,2,2.1755,l,02/02/2021 20:15,0,0,1,0,1.098238
h,1.76514,1.50038,1.76514,1.50038,"{'att': 257, 'def': 14}","{'att': 208, 'def': 17}",6,4,1,2,1.6157,l,21/11/2020 15:00,0,0,1,0,0.26476
h,1.30694,0.513439,0.545768,0.513439,"{'att': 202, 'def': 22}","{'att': 156, 'def': 29}",2,8,1,0,2.1842,w,13/03/2021 15:00,1,0,0,3,0.032329
h,1.56786,0.692043,1.56786,0.692043,"{'att': 223, 'def': 11}","{'att': 358, 'def': 18}",14,3,0,1,2.0693,l,12/05/2021 19:15,0,0,1,0,0.875817
h,2.27708,2.28004,1.51591,2.28004,"{'att': 234, 'def': 27}","{'att': 248, 'def': 23}",4,3,2,5,1.3364,l,20/09/2020 11:00,0,0,1,0,-0.76413
h,0.867496,2.21729,0.867496,1.45612,"{'att': 340, 'def': 28}","{'att': 206, 'def': 34}",3,12,1,4,0.4247,l,17/10/2020 19:00,0,0,1,0,-0.588624
h,1.1356,1.26872,1.1356,0.507552,"{'att': 166, 'def': 20}","{'att': 162, 'def': 28}",6,5,0,1,1.1847,l,12/12/2020 12:30,0,0,1,0,0.628048
h,2.0545,0.57936,0.532166,0.57936,"{'att': 296, 'def': 20}","{'att': 261, 'def': 10}",1,6,1,0,2.5842,w,08/11/2020 14:00,1,0,0,3,-0.047194
h,1.29175,1.0552,1.29175,1.0552,"{'att': 230, 'def': 33}","{'att': 284, 'def': 23}",4,10,0,1,1.5814,l,15/03/2021 20:00,0,0,1,0,0.23655
h,1.09737,1.91456,1.09737,1.15339,"{'att': 86, 'def': 26}","{'att': 299, 'def': 22}",9,4,1,3,0.7463,l,19/09/2020 16:30,0,0,1,0,-0.05602
h,0.43551,1.54225,0.43551,1.54225,"{'att': 482, 'def': 14}","{'att': 115, 'def': 16}",1,13,0,5,0.4676,l,29/12/2020 18:00,0,0,1,0,-1.10674
h,0.0388442,2.61964,0.0388442,1.85847,"{'att': 272, 'def': 19}","{'att': 142, 'def': 17}",1,12,0,3,0.0251,l,20/12/2020 19:15,0,0,1,0,-1.8196258
